context,function,mop,mopLabel,code,label,245abbr,245label,note,isLabelFun
composition,compilateur,,,0210,Compilateur,,,,TRUE
composition,compositeur,,,0220,Compositeur,comp.,compositeur,,TRUE
composition,compositeur,,,0221,Compositeur présumé,,,,TRUE
composition,compositeur,,,0223,Compositeur prétendu,,,,TRUE
composition,continuateur,,,0260,Continuateur,,,,TRUE
composition,continuateur,,,0261,Continuateur présumé,,,,TRUE
composition,continuateur,,,0263,Continuateur prétendu,,,,TRUE
composition,destinataire,,,0290,Dédicataire,,,,TRUE
composition,dessinateur,,,0310,Dessinateur,,,,TRUE
composition,dessinateur,,,0311,Dessinateur présumé,,,,TRUE
composition,dessinateur,,,0313,Dessinateur prétendu,,,,TRUE
composition,harmonisateur,,,0430,Harmonisateur,harm.,harmonisateur,,TRUE
composition,,,,0440,Illustrateur,,,,TRUE
composition,,,,0441,Illustrateur présumé,,,,TRUE
composition,,,,0443,Illustrateur prétendu,,,,TRUE
composition,librettiste,,,0470,Librettiste,livret,librettiste,,TRUE
composition,librettiste,,,0471,Librettiste présumé,,,,TRUE
composition,librettiste,,,0473,Librettiste prétendu,,,,TRUE
composition,metteur en scène,,,0500,Metteur en scène,,,,TRUE
composition,orchestrateur,,,0780,Orchestrateur,orch.,orchestrateur,,TRUE
composition,parolier,,,0510,Parolier,par.,parolier,,TRUE
composition,peintre,,,0520,Peintre,,,,TRUE
composition,peintre,,,0521,Peintre présumé,,,,TRUE
composition,peintre,,,0523,Peintre prétendu,,,,TRUE
composition,photographe,,,0530,Photographe,,,,TRUE
composition,photographe,,,0531,Photographe présumé,,,,TRUE
composition,photographe,,,0533,Photographe prétendu,,,,TRUE
composition,auteur de la postface,,,0540,Postfacier,,,,TRUE
composition,auteur de la préface,,,0550,Préfacier,,,,TRUE
composition,présentateur dans un spectacle,,,0560,Présentateur,,,,TRUE
composition,producteur (radio),,,0570,Producteur artistique,,,,TRUE
composition,réalisateur,,,0610,Réalisateur,,,,TRUE
composition,réalisateur,,,0611,Réalisateur présumé,,,,TRUE
composition,réalisateur,,,0613,Réalisateur prétendu,,,,TRUE
composition,réalisateur de la basse continue,,,0770,Réalisation de la basse continue,bc,basse continue,,FALSE
composition,réviseur (musique),,,,,rév.,révision,,FALSE
composition,scénariste,,,0630,Scénariste,,,,TRUE
composition,traducteur,,,0680,Traducteur,trad.,traducteur,,TRUE
composition,transcripteur,,,0730,Transcripteur,transcr.,transcripteur,,TRUE
publication,éditeur,,,3250,éditeur commercial,,,,
publication,imprimeur,,,3260,imprimeur libraire,,,,
publication,imprimeur,,,3030,imprimeur libraire antécédent,,,,
