function,mop,mopLabel,code,label,245abbr,245label,isLabelFun
,oiv,vocal and instrumental ensemble,1828,Ensemble vocal et instrumental (musique ethnique),,,FALSE
,ost,string orchestra,1870,Ensemble de cordes,,,FALSE
,ost,string orchestra,1878,Ensemble de cordes (musique ethnique),,,FALSE
,owi,wind orchestra,1880,Ensemble à vent,,,FALSE
,owi,wind orchestra,1888,Ensemble à vent (musique ethnique),,,FALSE
,owi,wind orchestra,1890,Ensemble de cuivres,,,FALSE
,owi,wind orchestra,1898,Ensemble de cuivres (musique ethnique),,,FALSE
,kpf,piano,1900,Piano à 4 mains,,,FALSE
,kfp,fortepiano,1910,Pianoforte à 4 mains,,,FALSE
,kce,celesta,1920,Célesta,,,FALSE
,wbp,bagpipe,1930,Cornemuse,,,FALSE
,wbp,bagpipe,1937,Cornemuses (diverses),,,FALSE
,wbp,bagpipe,1938,Cornemuses (musique ethnique),,,FALSE
,,,1940,Washboard,,,FALSE
,,,1947,Idiophones raclés (divers),,,FALSE
,,,1948,Idiophones raclés (musique ethnique),,,FALSE
musicien (interprète),,,1980,Interprète (autre),,,TRUE
