iaml;name;frenchName;intermarc;note
vun;voice – unspecified;voix  - inconnu;vu;
vun;voice – unspecified;voix - ethnique;vy;+ suffixe ‘y’
vun;voice – unspecified;voix - non spécifié;vz;
wau;aulos;;;Pas d’équivalent dans le format source
wba;bassoon;basson;wd;
wbh;basset-horn;cor de basset;;Pas d’équivalent dans le format source
wbn;bassanello;;;Pas d’équivalent dans le format source
wbp;bagpipe;cornemuse;;Pas d’équivalent dans le format source
wch;chalumeau;chalumeau;;Pas d’équivalent dans le format source
wcl;clarinet;clarinette;wc;
wcl;clarinet;clarinette basse;wg;+ suffixe ‘l’
wcm;ciaramella;;;Pas d’équivalent dans le format source
wcr;cromorne;cormorne;;Pas d’équivalent dans le format source
wdb;double bassoon;contrebasson;;Pas d’équivalent dans le format source
wdi;didjeridu;;;Pas d’équivalent dans le format source
wdp;doppione;;;Pas d’équivalent dans le format source
wdu;dulcian;dolçaine;;Pas d’équivalent dans le format source
wdv;dvojnice;;;Pas d’équivalent dans le format source
weh;English horn;cor anglais;wf;
wfa;flauto d'amore;flûte d'amour;;Pas d’équivalent dans le format source
wfg;flageolet;Flageolet;;Pas d’équivalent dans le format source
wfi;fife;fifre;;Pas d’équivalent dans le format source
wfl;flute;flûte traversière;wa;
wga;tabor pipe;galoubet;;Pas d’équivalent dans le format source
wge;gemshorn;cor de chamois;;Pas d’équivalent dans le format source
whp;pibgorn;;;Pas d’équivalent dans le format source
wmo;mouth organ;orgue à bouche;;Pas d’équivalent dans le format source
wmu;musette;musette;;Pas d’équivalent dans le format source
wna;ney;;;Pas d’équivalent dans le format source
woa;oboe d'amore;hautbois d'amour;;Pas d’équivalent dans le format source
wob;oboe;hautbois;wb;
woh;oboe da caccia;Hautbois de chasse;;Pas d’équivalent dans le format source
wpi;piccolo;piccolo;we;
wpo;pommer;bombarde;;Pas d’équivalent dans le format source
wpp;panpipes;flûte de pan;;Pas d’équivalent dans le format source
wra;racket;;;Pas d’équivalent dans le format source
wre;recorder;flûte à bec;wh;
wro;rothophone;rothophone;;Pas d’équivalent dans le format source
wsa;saxophone;saxophone;wi;
wsh;shakuhachi;;;Pas d’équivalent dans le format source
wsr;sarruso-phone;contrebasse-à-anche;;Pas d’équivalent dans le format source
wsu;sordun;courtaut;;Pas d’équivalent dans le format source
wun;woodwind unspecified;bois - non spécifié;wn;
wun;woodwind unspecified;bois - inconnu;wu;
wun;woodwind unspecified;bois - ethnique;wz;+ suffixe ‘y’
wvu;voce umana;;;Pas d’équivalent dans le format source
wzz;woodwind – other;bois - autre;wz;
zab;acrobat;acrobate;;Pas d’équivalent dans le format source
zac;child actor;acteur enfant;;Pas d’équivalent dans le format source
zas;silent actor;acteur muet;;Pas d’équivalent dans le format source
zat;actor;acteur;;Sans objet pas de précision
zaw;actress;actrice;;Sans objet pas de précision
zda;dancer;danseur/danseuse;;Sans objet pas de précision
zel;light engineer;éclairagiste;;Pas d’équivalent dans le format source
zes;sound engineer;Ingénieur du son;;Pas d’équivalent dans le format source
zju;juggler;jongleur;;Pas d’équivalent dans le format source
zmi;mime;mime;;Sans objet pas de précision
zwp;walk-on part;figurant(e);;Pas d’équivalent dans le format source
zzz;performer – other;interprète - autre;;Sans objet pas de précision
